ref_date,province,Biomass,Combustible fuels,Hydro,Non-renewable combustibles,Nuclear,Solar,Wind
2017-12-01,Saskatchewan,0.0,1982113.0,280545.0,0.0,,0.0,93024.0
2018-01-01,Alberta,0.0,6526469.0,103695.0,0.0,,620.0,481948.0
2018-01-01,British Columbia,0.0,536339.0,5905363.0,0.0,,68.0,109544.0
2018-01-01,Manitoba,0.0,11765.0,2818358.0,0.0,,0.0,99578.0
2018-01-01,New Brunswick,0.0,809041.0,259786.0,0.0,491865.0,0.0,80581.0
2018-01-01,Newfoundland and Labrador,0.0,287328.0,4586629.0,0.0,,0.0,18987.0
2018-01-01,Nova Scotia,0.0,881677.0,103246.0,0.0,,0.0,123099.0
2018-01-01,Ontario,0.0,1411911.0,3579263.0,0.0,8012753.0,57282.0,1551780.0
2018-01-01,Prince Edward Island,0.0,1581.0,0.0,0.0,,0.0,65919.0
2018-01-01,Quebec,0.0,220870.0,21768608.0,0.0,0.0,63.0,1074755.0
2018-01-01,Saskatchewan,0.0,2044213.0,337450.0,0.0,,0.0,109789.0
2018-02-01,Alberta,0.0,5777573.0,102802.0,0.0,,1436.0,381701.0
2018-02-01,British Columbia,0.0,477409.0,5307636.0,0.0,,84.0,111226.0
2018-02-01,Manitoba,0.0,9863.0,2551756.0,0.0,,0.0,81161.0
2018-02-01,New Brunswick,0.0,536995.0,184767.0,0.0,445602.0,0.0,68429.0
2018-02-01,Newfoundland and Labrador,0.0,193406.0,4167783.0,0.0,,0.0,18549.0
2018-02-01,Nova Scotia,0.0,752654.0,106972.0,0.0,,0.0,109638.0
2018-02-01,Ontario,0.0,970140.0,3176001.0,0.0,6807599.0,82705.0,1151966.0
2018-02-01,Prince Edward Island,0.0,2127.0,0.0,0.0,,0.0,55165.0
2018-02-01,Quebec,0.0,202808.0,18334708.0,0.0,0.0,90.0,982936.0
2018-02-01,Saskatchewan,0.0,1952939.0,268548.0,0.0,,0.0,92247.0
2018-03-01,Alberta,0.0,6317675.0,109119.0,0.0,,2819.0,264855.0
2018-03-01,British Columbia,0.0,477374.0,5475802.0,0.0,,109.0,101237.0
2018-03-01,Manitoba,0.0,9658.0,2863142.0,0.0,,0.0,67557.0
2018-03-01,New Brunswick,0.0,485681.0,189312.0,0.0,494395.0,0.0,74906.0
2018-03-01,Newfoundland and Labrador,0.0,156539.0,4516594.0,0.0,,0.0,21103.0
2018-03-01,Nova Scotia,0.0,748951.0,94225.0,0.0,,0.0,118679.0
2018-03-01,Ontario,0.0,878687.0,3121381.0,0.0,7565383.0,179661.0,1115147.0
2018-03-01,Prince Edward Island,0.0,1926.0,0.0,0.0,,0.0,58715.0
2018-03-01,Quebec,0.0,210348.0,18369200.0,0.0,0.0,113.0,822628.0
2018-03-01,Saskatchewan,0.0,1826882.0,268207.0,0.0,,0.0,53862.0
2018-04-01,Alberta,0.0,5334406.0,129920.0,0.0,,2944.0,315217.0
2018-04-01,British Columbia,0.0,480987.0,4234580.0,0.0,,136.0,127336.0
2018-04-01,Manitoba,0.0,11915.0,2429199.0,0.0,,0.0,67484.0
2018-04-01,New Brunswick,0.0,399268.0,402714.0,0.0,90700.0,0.0,69393.0
2018-04-01,Newfoundland and Labrador,0.0,154036.0,3446076.0,0.0,,0.0,21742.0
2018-04-01,Nova Scotia,0.0,634249.0,110612.0,0.0,,0.0,106498.0
2018-04-01,Ontario,0.0,892664.0,2805590.0,0.0,6827111.0,190495.0,999782.0
2018-04-01,Prince Edward Island,0.0,1839.0,0.0,0.0,,0.0,59504.0
2018-04-01,Quebec,0.0,196843.0,16596715.0,0.0,0.0,134.0,877338.0
2018-04-01,Saskatchewan,0.0,1575996.0,262542.0,0.0,,0.0,41364.0
2018-05-01,Alberta,0.0,5323682.0,229431.0,0.0,,3293.0,295582.0
2018-05-01,British Columbia,0.0,430984.0,4536107.0,0.0,,183.0,120260.0
2018-05-01,Manitoba,0.0,11233.0,2534075.0,0.0,,0.0,58358.0
2018-05-01,New Brunswick,0.0,379361.0,433024.0,0.0,0.0,0.0,67839.0
2018-05-01,Newfoundland and Labrador,0.0,155417.0,2921288.0,0.0,,0.0,19871.0
2018-05-01,Nova Scotia,0.0,565732.0,106853.0,0.0,,0.0,93630.0
2018-05-01,Ontario,0.0,568814.0,3529145.0,0.0,7139208.0,273498.0,678721.0
2018-05-01,Prince Edward Island,0.0,2067.0,0.0,0.0,,0.0,49163.0
2018-05-01,Quebec,0.0,163272.0,14322901.0,0.0,0.0,187.0,944614.0
2018-05-01,Saskatchewan,0.0,1407454.0,532306.0,0.0,,0.0,51184.0
2018-06-01,Alberta,0.0,5101974.0,234825.0,0.0,,3206.0,343537.0
2018-06-01,British Columbia,0.0,375340.0,4607841.0,0.0,,200.0,104296.0
2018-06-01,Manitoba,0.0,6883.0,2458492.0,0.0,,0.0,53174.0
2018-06-01,New Brunswick,0.0,211430.0,160009.0,0.0,475678.0,0.0,58374.0
2018-06-01,Newfoundland and Labrador,0.0,76054.0,2525244.0,0.0,,0.0,14322.0
2018-06-01,Nova Scotia,0.0,541156.0,60778.0,0.0,,0.0,88735.0
2018-06-01,Ontario,0.0,910531.0,3256394.0,0.0,7183280.0,284602.0,703201.0
2018-06-01,Prince Edward Island,0.0,2092.0,0.0,0.0,,0.0,42794.0
2018-06-01,Quebec,0.0,164119.0,14224356.0,0.0,0.0,187.0,711900.0
2018-06-01,Saskatchewan,0.0,1457662.0,389004.0,0.0,,0.0,42229.0
2018-07-01,Alberta,0.0,6289361.0,300957.0,0.0,,3677.0,240091.0
2018-07-01,British Columbia,0.0,487936.0,5484785.0,0.0,,218.0,89414.0
2018-07-01,Manitoba,0.0,1530.0,2789305.0,0.0,,0.0,49540.0
2018-07-01,New Brunswick,0.0,400699.0,84271.0,0.0,485868.0,0.0,52142.0
